date	artist	song
2/7/76	Paul Simon	50 Ways To Leave Your Lover
1/31/76	Ohio Players	Love Rollercoaster
1/24/76	Diana Ross	Theme From Mahogany (Do You Know Where You're Going To)
1/17/76	Barry Manilow	I Write The Songs
1/10/76	C.W. McCall	Convoy
1/3/76	Bay City Rollers	Saturday Night
12/27/75	The Staple Singers	Let's Do It Again
12/20/75	KC And The Sunshine Band	That's The Way (I Like It)
12/13/75	Silver Convention	Fly, Robin, Fly
12/6/75	Silver Convention	Fly, Robin, Fly
11/29/75	Silver Convention	Fly, Robin, Fly
11/22/75	KC And The Sunshine Band	That's The Way (I Like It)
11/15/75	Elton John	Island Girl
11/8/75	Elton John	Island Girl
11/1/75	Elton John	Island Girl
10/25/75	Neil Sedaka	Bad Blood
10/18/75	Neil Sedaka	Bad Blood
10/11/75	Neil Sedaka	Bad Blood
10/4/75	David Bowie	Fame
9/27/75	John Denver	I'm Sorry
9/20/75	David Bowie	Fame
9/13/75	Glen Campbell	Rhinestone Cowboy
9/6/75	Glen Campbell	Rhinestone Cowboy
8/30/75	KC And The Sunshine Band	Get Down Tonight
8/23/75	Hamilton, Joe Frank & Reynolds	Fallin' In Love
8/16/75	Bee Gees	Jive Talkin'
8/9/75	Bee Gees	Jive Talkin'
8/2/75	Eagles	One Of These Nights
7/26/75	Van McCoy & The Soul City Symphony	The Hustle
7/19/75	Wings	Listen To What The Man Said
7/12/75	The Captain & Tennille	Love Will Keep Us Together
7/5/75	The Captain & Tennille	Love Will Keep Us Together
6/28/75	The Captain & Tennille	Love Will Keep Us Together
6/21/75	The Captain & Tennille	Love Will Keep Us Together
6/14/75	America	Sister Golden Hair
6/7/75	John Denver	Thank God I'm A Country Boy
5/31/75	Freddy Fender	Before The Next Teardrop Falls
5/24/75	Earth, Wind & Fire	Shining Star
5/17/75	Tony Orlando & Dawn	He Don't Love You (Like I Love You)
5/10/75	Tony Orlando & Dawn	He Don't Love You (Like I Love You)
5/3/75	Tony Orlando & Dawn	He Don't Love You (Like I Love You)
4/26/75	B.J. Thomas	(Hey Won't You Play) Another Somebody Done Somebody Wrong Song
4/19/75	The Elton John Band	Philadelphia Freedom
4/12/75	The Elton John Band	Philadelphia Freedom
4/5/75	Minnie Riperton	Lovin' You
3/29/75	Labelle	Lady Marmalade
3/22/75	Frankie Valli	My Eyes Adored You
3/15/75	The Doobie Brothers	Black Water
3/8/75	Olivia Newton-John	Have You Never Been Mellow
3/1/75	Eagles	Best Of My Love
2/22/75	AWB	Pick Up The Pieces
2/15/75	Linda Ronstadt	You're No Good
2/8/75	Ohio Players	Fire
2/1/75	Neil Sedaka	Laughter In The Rain
1/25/75	Carpenters	Please Mr. Postman
1/18/75	Barry Manilow	Mandy
1/11/75	Elton John	Lucy In The Sky With Diamonds
1/4/75	Elton John	Lucy In The Sky With Diamonds
12/28/74	Helen Reddy	Angie Baby
12/21/74	Harry Chapin	Cat's In The Cradle
12/14/74	Carl Douglas	Kung Fu Fighting
12/7/74	Carl Douglas	Kung Fu Fighting
11/30/74	Billy Swan	I Can Help
11/23/74	Billy Swan	I Can Help
11/16/74	John Lennon With The Plastic Ono Nuclear Band	Whatever Gets You Thru The Night
11/9/74	Bachman-Turner Overdrive	You Ain't Seen Nothing Yet/Free Wheelin'
11/2/74	Stevie Wonder	You Haven't Done Nothin
10/26/74	Dionne Warwicke & Spinners	Then Came You
10/19/74	Billy Preston	Nothing From Nothing
10/12/74	Olivia Newton-John	I Honestly Love You
10/5/74	Olivia Newton-John	I Honestly Love You
9/28/74	Andy Kim	Rock Me Gently
9/21/74	Barry White	Can't Get Enough Of Your Love, Babe
9/14/74	Eric Clapton	I Shot The Sheriff
9/7/74	Paul Anka with Odia Coates	(You're) Having My Baby
8/31/74	Paul Anka with Odia Coates	(You're) Having My Baby
8/24/74	Paul Anka with Odia Coates	(You're) Having My Baby
8/17/74	Paper Lace	The Night Chicago Died
8/10/74	Roberta Flack	Feel Like Makin' Love
8/3/74	John Denver	ANNIE's SONG
7/27/74	John Denver	ANNIE's SONG
7/20/74	George McCrae	Rock Your Baby
7/13/74	George McCrae	Rock Your Baby
7/6/74	The Hues Corporation	Rock The Boat
6/29/74	Gordon Lightfoot	Sundown
6/22/74	Bo Donaldson And The Heywoods	Billy, Don't Be A Hero
6/15/74	Bo Donaldson And The Heywoods	Billy, Don't Be A Hero
6/8/74	Paul McCartney And Wings	Band On The Run
6/1/74	Ray Stevens	The Streak
5/25/74	Ray Stevens	The Streak
5/18/74	Ray Stevens	The Streak
5/11/74	Grand Funk	The Loco-Motion
5/4/74	Grand Funk	The Loco-Motion
4/27/74	MFSB Featuring The Three Degrees	TSOP (The Sound Of Philadelphia)
4/20/74	MFSB Featuring The Three Degrees	TSOP (The Sound Of Philadelphia)
